,GS,FTr,BLK%,VORP,3P%,Popularity,C,Allstar
564,12,0.449,0.5,0.5,0.35,909,0,0
568,67,0.488,1.1,2.9,0.283,316,0,1
569,2,0.127,1.8,0.1,0.419,855,0,0
570,0,0.188,0,-0.1,0.294,279,0,0
571,3,0.281,0.5,-0.4,0.323,712,0,0
572,7,0.232,0.6,0.3,0.311,527,0,0
573,81,0.084,0.4,2.1,0.449,428,0,0
574,41,0.133,0.6,0,0.319,180,0,0
575,0,0.333,1.2,-0.1,0.327,315,0,0
576,73,0.22,0.7,2.4,0.362,66,0,0
577,0,0.242,1.5,1.6,0.394,705,0,0
578,70,0.348,1.4,1.1,0.264,256,0,0
579,2,0.298,0.8,0.4,0.347,445,0,0
580,73,0.291,0.6,1.7,0.385,659,0,0
581,55,0.481,3.4,1.4,0,711,1,0
582,55,0.206,1.2,1.1,0.348,1305,0,0
584,0,0.387,1.1,-0.1,0.29,904,0,0
588,0,0.104,0.9,-0.1,0.355,152,0,0
589,0,0.262,1.1,0,0.167,639,0,0
590,6,0.136,0.2,-0.5,0.345,917,0,0
591,1,0.167,0.5,-0.1,0,17,1,0
592,35,0.323,0.6,1.6,0.376,766,0,0
593,0,0.386,1.7,0.9,0.235,1139,0,0
594,73,0.268,0.4,3.3,0.361,139,0,0
595,0,0.12,2,0.2,0.418,83,0,0
596,71,0.5,3.2,3.9,0,324,1,1
598,0,0.121,0.7,-0.1,0.429,42,0,0
599,24,0.318,0.4,1.2,0.361,798,0,0
603,8,0.206,1.4,0.8,0.331,136,0,0
604,7,0.132,2.7,0.8,0,369,0,0
611,78,0.252,0.4,6.7,0.424,190,0,1
612,68,0.363,4.8,1.1,0,430,1,0
614,0,0.103,0.3,-0.3,0.179,69,0,0
615,0,0.414,1.1,-0.6,0.2,638,0,0
616,66,0.438,6.7,3.9,0.222,1302,0,1
624,4,0.162,0.3,0,0.368,18,0,0
628,79,0.448,0.7,2,0.305,377,0,0
629,24,0.159,1.2,1.8,0.402,400,0,0
630,15,0.41,4.6,0.5,1,548,1,0
634,8,0.325,1.2,0.5,0.386,1106,0,0
635,75,0.381,0.6,4,0.408,180,0,0
636,81,0.427,4,2.4,0,487,1,0
637,43,0.13,0.4,0.5,0.36,278,0,0
638,74,0.349,4.6,2.8,0,465,1,1
639,61,0.212,1.4,1.8,0.38,269,0,0
640,81,0.477,1.5,8.5,0.391,239,0,1
641,1,0.087,0.4,0,0.424,318,0,0
642,82,0.336,0.6,1.5,0.33,271,0,0
643,4,0.226,3,0.6,0,497,0,0
