,Age,G,GS,MP,3PAr,FTr,AST%,STL%,BLK%,TOV%,USG%,WS/48,VORP,3P%,2P%,FTA,FT%,AST,STL,BLK,TOV,Popularity,C,PPG,Allstar
123,24,41,0,407,0.446,0.259,9.8,2.1,0.6,13.2,16.1,0.021,-0.2,0.28,0.452,29,0.724,26,16,3,19,2407,0,2.9,0
124,25,37,0,215,0.023,0.75,8,2,4.8,12,14.1,0.208,0.3,0,0.628,33,0.636,11,8,13,8,549,0,2.03,0
126,23,65,61,2016,0.174,0.354,19,2.3,1,12.6,22.3,0.105,1.7,0.338,0.508,271,0.775,229,90,27,128,508,0,15.18,0
128,21,77,8,1787,0.009,0.458,6.8,2,5.7,15.9,20.6,0.117,1.4,0,0.487,260,0.688,75,67,130,129,1016,0,9.44,0
129,28,68,68,2313,0.293,0.145,27,2.2,0.5,14.2,22.1,0.087,1.3,0.36,0.455,128,0.789,372,94,14,155,104,0,13.94,0
130,24,51,22,1037,0.063,0.238,8.9,1.6,0.6,14.6,12.9,0.052,0,0.143,0.478,53,0.642,60,32,8,42,377,0,4.71,0
134,20,38,4,428,0.355,0.257,15.5,2.2,0.2,15.9,20.4,0.115,0.1,0.407,0.541,39,0.769,44,19,1,32,196,0,5.32,0
135,29,82,72,2249,0.588,0.195,11.7,1.5,0.9,10.3,18.1,0.08,0.9,0.41,0.378,144,0.819,167,66,27,92,212,0,10.76,0
136,23,69,0,967,0.381,0.242,15.9,1.6,0.2,13.1,23.9,0.052,-0.4,0.417,0.423,99,0.859,92,31,3,68,401,0,7.16,0
138,24,71,71,2309,0.416,0.4,11.2,1.4,1.2,9.8,21.3,0.151,2.5,0.373,0.45,348,0.822,176,64,36,111,659,0,16.18,0
142,36,68,68,2022,0.019,0.236,14.4,2,2.4,10.5,24.5,0.133,1.5,0.125,0.504,201,0.786,159,78,62,110,722,1,14.76,0
143,24,19,0,149,0.306,0.204,31.3,3.4,0,23.1,20.7,-0.073,-0.2,0.2,0.382,10,0.5,31,10,0,16,654,0,2.11,0
144,28,80,80,2796,0.016,0.364,19.1,1.6,4.1,13.5,19.2,0.197,5.7,0.071,0.501,316,0.848,318,80,139,157,901,1,14.09,0
